"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 19 01:45:10 IST 2023","Wed Jul 19 01:45:17 IST 2023","6908","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","Given user launches the browser",""
"passed","Wed Jul 19 01:45:26 IST 2023","Wed Jul 19 01:45:28 IST 2023","2132","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","When user handles the alerts",""
"passed","Wed Jul 19 01:45:21 IST 2023","Wed Jul 19 01:45:24 IST 2023","3319","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","When user clicks on radio buttons",""
"passed","Wed Jul 19 01:45:24 IST 2023","Wed Jul 19 01:45:24 IST 2023","248","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","When user click on checkboxes",""
"passed","Wed Jul 19 01:45:37 IST 2023","Wed Jul 19 01:45:37 IST 2023","1","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","",""
"passed","Wed Jul 19 01:45:09 IST 2023","Wed Jul 19 01:45:19 IST 2023","9440","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","Given user launches the browser",""
"passed","Wed Jul 19 01:45:25 IST 2023","Wed Jul 19 01:45:26 IST 2023","651","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","When user clicks in dropdowmns",""
"passed","Wed Jul 19 01:45:17 IST 2023","Wed Jul 19 01:45:21 IST 2023","3767","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","When user enters the data in text fields",""
"passed","Wed Jul 19 01:45:25 IST 2023","Wed Jul 19 01:45:27 IST 2023","2130","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","When user handles the alerts",""
"passed","Wed Jul 19 01:45:19 IST 2023","Wed Jul 19 01:45:22 IST 2023","3427","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","When user enters the data in text fields",""
"passed","Wed Jul 19 01:45:34 IST 2023","Wed Jul 19 01:45:34 IST 2023","77","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","Then the test should be passes",""
"passed","Wed Jul 19 01:45:22 IST 2023","Wed Jul 19 01:45:25 IST 2023","3226","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","When user clicks on radio buttons",""
"passed","Wed Jul 19 01:45:36 IST 2023","Wed Jul 19 01:45:37 IST 2023","124","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","Then the test should be passes",""
"passed","Wed Jul 19 01:45:27 IST 2023","Wed Jul 19 01:45:34 IST 2023","6627","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","When user handles the frames",""
"passed","Wed Jul 19 01:45:34 IST 2023","Wed Jul 19 01:45:34 IST 2023","1","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","",""
"passed","Wed Jul 19 01:45:28 IST 2023","Wed Jul 19 01:45:36 IST 2023","8315","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","When user handles the frames",""
"passed","Wed Jul 19 01:45:25 IST 2023","Wed Jul 19 01:45:25 IST 2023","11","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","When user click on checkboxes",""
"passed","Wed Jul 19 01:45:24 IST 2023","Wed Jul 19 01:45:25 IST 2023","837","","Feature to test Home page: Usetsucessfully clicks the data fields","","","","When user clicks in dropdowmns",""
